"","LInkZip","iMISID","ZCTA","NameLnk","NAME","PLACEFP","STATEFP","GISJOIN","SUST_MANAGER","SUST_CEOPLAN","SUST_CITCOMM","SUST_BUDGET","SUST_STAFF","POV_POL_CNT","POV_POL_PER","WAT_POL_PER","WAT_POL_CNT","EM_POL_CNT","EM_POL_PER","USTATE.","USTATE","UPO","UMETRO","STATE_GHG","STATE_WATER","STATE_POV","GEO.id","POV_PERCENT_POP","PER_CAP_INC","COL_DEG_PER","DEM_VOTE_PER","NRDC_COUNT","NRDC_PER_ZIP_POP","NRDC_PER_TOTNRDC","WATER_STRESS_RANKS","WATER_STRESS_TOPN_PER","WATER_STRESS_ABS","TOT_POP"
"40",14454,175993,"14454","36_Geneseo","Geneseo","28618","36","G36028618",0,0,1,1,0,0,0,0,0,0,0,36,"NY","Geneseo",0,2.35,11,4.64,"8600000US14454","27.2","19936","39.2405936",46,30,0.00275735294117647,0,99,0,0.488114643,7702
"41",14468,176013,"14468","36_Hilton","Hilton","34847","36","G36034847",0,0,0,0,0,0,0,0,0,0,0,36,"NY","Hilton",0,2.35,11,4.64,"8600000US14468","6.3","27415","19.5319676",58.97,28,0.00158586316266425,0,99,0,0.488114643,6319
"42",14522,176038,"14522","36_Palmyra","Palmyra","56187","36","G36056187",0,0,0,0,0,0,0,0,0,0,0,36,"NY","Palmyra",0,2.35,11,4.64,"8600000US14522","11.7","24648","18.6598715",44.98,19,0.00200781993025468,0,91,0,0.481433257,3411
"43",14755,110667,"14755","36_Little Valley","Little Valley","42829","36","G36042829",0,0,0,0,0,2,0.4,0.4,2,0,0,36,"NY","Little Valley",0,2.35,11,4.64,"8600000US14755","15.2","20730","10.5073102",44.6,6,0.00185758513931889,0,34,0,0.42232559,79688
"44",14810,176128,"14810","36_Bath","Bath","04759","36","G36004759",0,0,0,0,0,3,0.6,0,0,0,0,36,"NY","Bath",0,2.35,11,4.64,"8600000US14810","14","23440","13.477344",41.47,25,0.00202839756592292,0,3,0,0.380232299,96573
"45",14830,110700,"14830","36_Corning","Corning","18256","36","G36018256",1,0,0,0,0,1,0.2,0.6,3,0,0,36,"NY","Corning",0,2.35,11,4.64,"8600000US14830","16.5","27879","21.7652396",41.47,51,0.0025708236717411,1e-04,3,0,0.380232299,10281
"46",14850,110713,"14850","36_Ithaca","Ithaca","38077","36","G36038077",0,0,0,0,0,4,0.8,0,0,3,0.6,36,"NY","Ithaca",0,2.35,11,4.64,"8600000US14850","27.1","26304","55.7593803",71.43,592,0.00923081720798965,9e-04,91,0,0.481433257,101136
"47",14891,110745,"14891","36_Watkins Glen","Watkins Glen","78696","36","G36078696",0,0,0,0,0,2,0.4,0,0,0,0,36,"NY","Watkins Glen",0,2.35,11,4.64,"8600000US14891","7.4","25568","18.1413962",46.41,6,0.00136923779096303,0,3,0,0.380232299,18888
"48",14903,176186,"14903","36_Elmira Heights","Elmira Heights","24251","36","G36024251",0,0,0,0,0,0,0,0,0,0,0,36,"NY","Elmira Heights",0,2.35,11,4.64,"8600000US14903","16.2","25179","20.9396364",49.38,9,0.00128022759601707,0,3,0,0.380232299,3897
"49",15001,176189,"15001","42_Aliquippa","Aliquippa","00820","42","G42000820",0,0,0,0,0,0,0,0,0,0,0,42,"PA","Aliquippa",0,0.9,3,2.48,"8600000US15001","9.8","26658","18.6643943",48.56,41,0.0012511825200647,1e-04,31,0,0.417056225,12391
"50",15005,176199,"15005","42_Baden","Baden","03736","42","G42003736",0,0,0,0,0,0,0,0,0,0,0,42,"PA","Baden",0,0.9,3,2.48,"8600000US15005","6.8","30809","23.97257",48.56,23,0.00246701705459616,0,31,0,0.417056225,9136
"51",15012,303857,"15012","42_Belle Vernon","Belle Vernon","05288","42","G42005288",0,0,0,0,0,1,0.2,0,0,0,0,42,"PA","Belle Vernon",0,0.9,3,2.48,"8600000US15012","13.7","24404","19.0025756",41.55,20,0.00123969503502138,0,46,0,0.434671702,11622
"52",15024,413736,"15024","42_Cheswick","Cheswick","13392","42","G42013392",1,0,0,0,0,0,0,0.4,2,0,0,42,"PA","Cheswick",0,0.9,3,2.48,"8600000US15024","8.4","30009","23.43",57.81,22,0.00252525252525253,0,34,0,0.42232559,11936
"53",15033,176250,"15033","42_Donora","Donora","19536","42","G42019536",0,0,0,0,0,1,0.2,0,0,0,0,42,"PA","Donora",0,0.9,3,2.48,"8600000US15033","22.9","16965","12.9141486",47.61,9,0.00178323756687141,0,46,0,0.434671702,5261
"54",15059,110890,"15059","42_Midland","Midland","49184","42","G42049184",1,0,0,0,0,0,0,0,0,0,0,42,"PA","Midland",0,0.9,3,2.48,"8600000US15059","21.3","20198","14.418018",48.56,6,0.00141542816702052,0,31,0,0.417056225,2846
"55",15108,176339,"15108","42_Coraopolis","Coraopolis","16144","42","G42016144",1,0,1,1,1,2,0.4,0.2,1,0,0,42,"PA","Coraopolis",0,0.9,3,2.48,"8600000US15108","9.3","34084","29.4957751",57.81,64,0.0016254793894293,1e-04,31,0,0.417056225,22865
"56",15143,176379,"15143","42_Sewickley","Sewickley","69376","42","G42069376",1,0,1,0,1,0,0,0.4,2,0,0,42,"PA","Sewickley",0,0.9,3,2.48,"8600000US15143","4.4","53198","43.9668376",57.81,75,0.00389084872380162,1e-04,31,0,0.417056225,3562
"57",15202,176401,"15202","42_Avalon","Avalon","03608","42","G42003608",1,0,1,0,0,2,0.4,0,0,0,0,42,"PA","Avalon",0,0.9,3,2.48,"8600000US15202","11.8","27781","24.4219897",57.81,66,0.00333974294099787,1e-04,31,0,0.417056225,4812
"58",15317,176561,"15317","42_Canonsburg","Canonsburg","11152","42","G42011152",1,0,0,0,0,0,0,0.2,1,0,0,42,"PA","Canonsburg",0,0.9,3,2.48,"8600000US15317","5.3","33764","30.3471457",47.61,58,0.00161658955348682,1e-04,31,0,0.417056225,12370
"59",15417,176591,"15417","42_Brownsville","Brownsville","09432","42","G42009432",0,0,0,0,0,0,0,0,0,0,0,42,"PA","Brownsville",0,0.9,3,2.48,"8600000US15417","25.5","20192","14.8744144",49.79,11,0.00135785705468461,0,46,0,0.434671702,3211
"60",15501,176596,"15501","42_Somerset","Somerset","71776","42","G42071776",1,0,0,0,0,0,0,0.4,2,0,0,42,"PA","Somerset",0,0.9,3,2.48,"8600000US15501","16.5","22278","16.5419746",37.26,20,0.00120612712579906,0,46,0,0.434671702,6359
"61",15642,176636,"15642","42_Irwin","Irwin","37208","42","G42037208",1,0,0,0,0,0,0,0,0,0,0,42,"PA","Irwin",0,0.9,3,2.48,"8600000US15642","4.7","29653","22.9343365",41.55,47,0.00103092783505155,1e-04,46,0,0.434671702,4050
"62",15901,176710,"15901","42_Johnstown","Johnstown","38288","42","G42038288",1,0,0,0,0,2,0.4,0,0,0,0,42,"PA","Johnstown",1,0.9,3,2.48,"8600000US15901","40.3","14707","11.8827265",50.35,8,0.00194789383978573,0,34,0,0.42232559,21641
"63",16001,176731,"16001","42_Butler","Butler","10464","42","G42010464",0,0,0,0,0,0,0,0,0,0,0,42,"PA","Butler",0,0.9,3,2.48,"8600000US16001","12.1","25222","17.1079172",36.11,57,0.00140511758615589,1e-04,31,0,0.417056225,182902
"64",16001,111608,"16001","42_Butler","Butler","10464","42","G42010464",0,1,0,0,0,0,0,0,0,0,0,42,"PA","Butler",0,0.9,3,2.48,"8600000US16001","12.1","25222","17.1079172",36.11,57,0.00140511758615589,1e-04,31,0,0.417056225,16578
